Frame: 1 | File: frame_1_car_0.jpg | Plate: REFIER
Frame: 1 | File: frame_1_car_1.jpg | Plate: E
Frame: 1 | File: frame_1_car_2.jpg | Plate: ***
Frame: 1 | File: frame_1_car_3.jpg | Plate: -
Frame: 1 | File: frame_1_car_4.jpg | Plate: :
Frame: 1 | File: frame_1_car_5.jpg | Plate: 7/25
Frame: 1 | File: frame_1_car_6.jpg | Plate: -
Frame: 1 | File: frame_1_car_7.jpg | Plate: L
Frame: 1 | File: frame_1_car_8.jpg | Plate: QTY
Frame: 1 | File: frame_1_car_9.jpg | Plate: L
Frame: 1 | File: frame_1_car_10.jpg | Plate: E
Frame: 1 | File: frame_1_car_11.jpg | Plate: -24
Frame: 1 | File: frame_1_car_12.jpg | Plate: :
Frame: 2 | File: frame_2_car_0.jpg | Plate: :
Frame: 2 | File: frame_2_car_1.jpg | Plate: REFIER
Frame: 2 | File: frame_2_car_2.jpg | Plate: ***
Frame: 2 | File: frame_2_car_3.jpg | Plate: -
Frame: 2 | File: frame_2_car_4.jpg | Plate: :
Frame: 2 | File: frame_2_car_5.jpg | Plate: S
Frame: 2 | File: frame_2_car_6.jpg | Plate: 7/25/2000
Frame: 2 | File: frame_2_car_7.jpg | Plate: L
Frame: 2 | File: frame_2_car_8.jpg | Plate: QTY
Frame: 2 | File: frame_2_car_9.jpg | Plate: L
Frame: 2 | File: frame_2_car_10.jpg | Plate: E
Frame: 2 | File: frame_2_car_11.jpg | Plate: -274
Frame: 2 | File: frame_2_car_12.jpg | Plate: :
Frame: 3 | File: frame_3_car_0.jpg | Plate: :
Frame: 3 | File: frame_3_car_1.jpg | Plate: REF
Frame: 3 | File: frame_3_car_2.jpg | Plate: ***
Frame: 3 | File: frame_3_car_3.jpg | Plate: -
Frame: 3 | File: frame_3_car_4.jpg | Plate: :
Frame: 3 | File: frame_3_car_5.jpg | Plate: E
Frame: 3 | File: frame_3_car_6.jpg | Plate: ORDER
Frame: 3 | File: frame_3_car_7.jpg | Plate: QTYS
Frame: 3 | File: frame_3_car_8.jpg | Plate: L
Frame: 3 | File: frame_3_car_9.jpg | Plate: :
Frame: 3 | File: frame_3_car_10.jpg | Plate: L
Frame: 3 | File: frame_3_car_11.jpg | Plate: 1
Frame: 3 | File: frame_3_car_12.jpg | Plate: -24
